,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
85305,GCF_003838555.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,throat of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85306,GCF_003838585.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85307,GCF_003838605.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,throat of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85308,GCF_003838625.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85309,GCF_003698065.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Sample from Pseudomonas aeruginosa 39016,,homo sapiens,,,,cornea of a patient with ulcerative keratitis,,,Generic,True,
85312,GCF_003838645.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bacteraemia patient,,,"Microbe, viral or environmental",True,
85314,GCF_003838675.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85316,GCF_003838695.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85318,GCF_003838765.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,patient with pneumonia,,,"Microbe, viral or environmental",True,
85320,GCF_003838815.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85323,GCF_003838875.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85324,GCF_003838895.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85325,GCF_003838925.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult bronchiectasis patient,,,"Microbe, viral or environmental",True,
85326,GCF_003838935.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult bronchiectasis patient,,,"Microbe, viral or environmental",True,
85327,GCF_003838965.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85329,GCF_003839005.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult bronchiectasis patient,,,"Microbe, viral or environmental",True,
85331,GCF_003839065.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bacteraemia patient,,,"Microbe, viral or environmental",True,
85334,GCF_003839125.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,toe wound,,,"Microbe, viral or environmental",True,
85335,GCF_003839145.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85337,GCF_003839175.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85340,GCF_003839245.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85342,GCF_003839285.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85343,GCF_003839305.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85344,GCF_003839315.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85345,GCF_003839345.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85348,GCF_003839405.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85350,GCF_003839445.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85351,GCF_003839465.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85353,GCF_003839505.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85359,GCF_003839665.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85360,GCF_003839685.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85363,GCF_003839825.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bacteraemia patient,,,"Microbe, viral or environmental",True,
85368,GCF_003839945.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,patient with keratitis,,,"Microbe, viral or environmental",True,
85371,GCF_003839995.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,hip wound,,,"Microbe, viral or environmental",True,
85373,GCF_003840045.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bronchiectasis adult patient,,,"Microbe, viral or environmental",True,
85374,GCF_003840055.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85375,GCF_003840085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85376,GCF_003840095.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,pneumonia patient sputum,,,"Microbe, viral or environmental",True,
85385,GCF_003840285.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85386,GCF_003840305.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,throat of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85388,GCF_003840345.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,throat of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85389,GCF_003840365.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,throat of cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85390,GCF_003840385.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85391,GCF_003840405.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85392,GCF_003840425.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85393,GCF_003840445.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85394,GCF_003840455.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85395,GCF_003840465.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bronchoalveolar lavage of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85397,GCF_003840495.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult bronchiectasis patient,,,"Microbe, viral or environmental",True,
85398,GCF_003840545.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85400,GCF_003840585.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85401,GCF_003840605.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85403,GCF_003840635.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,urinary tract infection,,,"Microbe, viral or environmental",True,
85407,GCF_003840705.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85409,GCF_003840755.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85410,GCF_003840785.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bacteraemia patient,,,"Microbe, viral or environmental",True,
85414,GCF_003840865.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of adult cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85418,GCF_003840945.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,bacteraemia patient,,,"Microbe, viral or environmental",True,
85421,GCF_003841005.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85423,GCF_003841045.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,burn,,,"Microbe, viral or environmental",True,
85425,GCF_003841085.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,sputum of child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85426,GCF_003841095.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,skin ulcer,,,"Microbe, viral or environmental",True,
85427,GCF_003841125.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,child cystic fibrosis patient,,,"Microbe, viral or environmental",True,
85428,GCF_003841145.1,International Pseudomonas aeruginosa Consortium (IPC) genome sequencing project,,,Microbe sample from Pseudomonas aeruginosa,,homo sapiens,,,,calf burn,,,"Microbe, viral or environmental",True,
